year,season,hours,hibernation_hours,distance_km,water_scarcity_hours,organic_scarcity_hours,thermal_scarcity_hours,water_min,water_mean,water_max,organic_min,organic_mean,organic_max,electricity_min,electricity_mean,electricity_max,heat_min,heat_mean,heat_max,body_temperature_min,body_temperature_mean,body_temperature_max,total_mass_min,total_mass_mean,total_mass_max,activities,actions
3,Summer,2208,0,926.246678,0,0,0,1770.251831,2647.984375,3509.50708,2250.986572,2408.485107,2565.955322,230.950211,271.199707,279.10376,0,0.588845,5.911093,17.999996,17.999996,17.999996,26109.802734,27229.832031,28425.099609,"Travel:272|CollectWater:18|HarvestDryBiomass:192|DryOrganicMatter:246|CollectChitin:8","capture dust:321|burn dry organic matter:736|power intake and harvest:417|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|atrophy Снегосборник:718|atrophy Сушильный орган:490|atrophy Тепловой орган:718|generate solar electricity:435|move:474|movement water loss:474|movement organic maintenance:474|harvest live biomass:17|harvest dry biomass:136|grow Сборщик сухой массы:109|grow Органическое хранилище:210|grow Биореактор / топка:109|grow Солнечный лист:178|grow Сушильный орган:77|grow Охлаждающий орган:77|grow Парус:101|grow Резервуар:105|grow Каркас:105|withdraw surface water:21|grow Водозабор:4|grow Снегосборник:4|grow Тепловой орган:4|collect chitin:6|grow Ростовая ткань:4|heat caravan:33"
3,Autumn,2184,0,721.823503,0,0,0,1804.638306,2786.186035,4155.236816,2351.759766,2502.279785,2626.69043,225.1548,272.713226,279.101593,0,0.454116,6.480473,17.999996,17.999996,17.999996,26650.992188,27823.835938,28984.279297,"Travel:392|CollectWater:12|HarvestDryBiomass:196|DryOrganicMatter:121|CollectChitin:7","capture dust:383|burn dry organic matter:728|power intake and harvest:460|heat caravan:722|reject heat:728|spoil wet organic matter:592|maintain caravan water circuit:728|maintain living structure:728|maintain electrical systems:728|atrophy Снегосборник:716|atrophy Сушильный орган:607|atrophy Тепловой орган:420|move:403|movement water loss:403|movement organic maintenance:403|harvest dry biomass:125|grow Сборщик сухой массы:108|grow Органическое хранилище:243|grow Биореактор / топка:108|generate solar electricity:319|grow Солнечный лист:172|grow Сушильный орган:37|grow Охлаждающий орган:37|grow Парус:135|grow Резервуар:137|grow Каркас:153|grow Ростовая ткань:5|collect chitin:4|harvest live biomass:4|withdraw surface water:17|grow Водозабор:2|grow Снегосборник:2|grow Тепловой орган:2"
4,Winter,2160,0,519.796241,0,0,0,1838.944336,2733.926758,3731.56665,2456.515381,2668.591309,2939.990967,240.469482,275.375854,279.101624,0,0.29475,5.255821,17.999996,17.999998,18.000004,27293.921875,28612.511719,30318.787109,"Travel:456|CollectWater:14|HarvestDryBiomass:187|DryOrganicMatter:50|CollectChitin:13","capture dust:489|burn dry organic matter:720|power intake and harvest:533|heat caravan:720|reject heat:720|spoil wet organic matter:544|maintain caravan water circuit:720|maintain living structure:720|maintain electrical systems:720|atrophy Снегосборник:706|atrophy Сушильный орган:670|harvest dry biomass:135|generate solar electricity:270|move:345|movement water loss:345|movement organic maintenance:345|grow Сборщик сухой массы:99|grow Органическое хранилище:244|grow Биореактор / топка:99|grow Парус:145|grow Солнечный лист:158|grow Резервуар:149|grow Каркас:182|collect chitin:7|grow Ростовая ткань:8|harvest live biomass:4|withdraw surface water:14|grow Водозабор:4|grow Снегосборник:4|grow Тепловой орган:4|grow Сушильный орган:13|grow Охлаждающий орган:13"
4,Spring,2208,0,719.09663,0,0,0,1861.609253,2784.449707,3809.130615,2517.686035,2648.845459,2788.470459,211.337585,271.494812,279.101135,0,0.492098,7.510815,17.999996,18.103292,21.635288,27356.759766,28509.845703,29576.695313,"Travel:351|CollectWater:18|HarvestDryBiomass:173|DryOrganicMatter:189|CollectChitin:5","capture dust:429|burn dry organic matter:736|power intake and harvest:478|heat caravan:259|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|atrophy Снегосборник:718|atrophy Сушильный орган:547|generate solar electricity:395|move:432|movement water loss:432|movement organic maintenance:432|harvest dry biomass:101|grow Сборщик сухой массы:99|grow Органическое хранилище:200|grow Биореактор / топка:99|grow Парус:101|grow Солнечный лист:176|grow Резервуар:107|grow Каркас:166|withdraw surface water:19|grow Сушильный орган:75|grow Охлаждающий орган:75|collect chitin:4|harvest live biomass:17|grow Водозабор:6|grow Снегосборник:6|grow Тепловой орган:6|atrophy Тепловой орган:323"
4,Summer,2208,0,835.899674,0,0,0,1868.759521,2857.226563,4357.322266,2547.205078,2701.270264,2853.509766,219.71373,270.570404,279.101349,0,0.584681,7.176525,18.000004,19.951052,23.845594,27643.664063,28900.089844,30531.083984,"Travel:306|CollectWater:17|HarvestDryBiomass:155|DryOrganicMatter:246|CollectChitin:12","harvest live biomass:24|capture dust:313|collect chitin:8|burn dry organic matter:736|power intake and harvest:420|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|move:451|movement water loss:451|movement organic maintenance:451|atrophy Снегосборник:719|atrophy Сушильный орган:490|atrophy Тепловой орган:719|harvest dry biomass:139|grow Сборщик сухой массы:92|grow Органическое хранилище:224|grow Биореактор / топка:92|generate solar electricity:433|grow Парус:132|grow Солнечный лист:212|grow Резервуар:136|grow Каркас:214|grow Сушильный орган:80|grow Охлаждающий орган:80|withdraw surface water:23|grow Ростовая ткань:9|grow Водозабор:4|grow Снегосборник:4|grow Тепловой орган:4"
4,Autumn,2184,0,653.909897,0,0,0,1907.270264,2901.580078,4154.648438,2618.652344,2775.693115,2916.531982,237.267395,273.94696,279.102356,0,0.408423,6.153797,18.000004,18.000004,18.000004,28047.802734,29291.257813,30455.720703,"Travel:453|CollectWater:14|HarvestDryBiomass:157|DryOrganicMatter:93|CollectChitin:11","capture dust:456|burn dry organic matter:728|power intake and harvest:518|reject heat:728|spoil wet organic matter:728|maintain caravan water circuit:728|maintain living structure:728|maintain electrical systems:728|grow Парус:205|grow Солнечный лист:213|grow Резервуар:208|grow Органическое хранилище:295|grow Каркас:263|atrophy Снегосборник:714|atrophy Сушильный орган:635|atrophy Тепловой орган:537|generate solar electricity:324|move:400|movement water loss:400|movement organic maintenance:400|harvest dry biomass:94|grow Сборщик сухой массы:90|grow Биореактор / топка:90|harvest live biomass:7|withdraw surface water:19|grow Сушильный орган:8|grow Охлаждающий орган:8|heat caravan:581|collect chitin:7|grow Водозабор:3|grow Снегосборник:3|grow Тепловой орган:3|grow Ростовая ткань:6"
5,Winter,2160,0,460.521883,0,0,0,1947.130127,3519.693115,4688.053711,2747.521973,2939.158691,3159.87915,234.915329,276.209259,279.102112,0,0.24296,6.982197,18.000004,18.000004,18.000004,28611.496094,30763.771484,32779.769531,"Travel:514|CollectWater:8|HarvestDryBiomass:166|DryOrganicMatter:28|CollectChitin:4","burn dry organic matter:720|heat caravan:720|reject heat:720|maintain caravan water circuit:720|maintain living structure:720|maintain electrical systems:720|move:318|movement water loss:318|movement organic maintenance:318|grow Парус:185|grow Солнечный лист:186|grow Резервуар:186|grow Органическое хранилище:271|grow Каркас:258|atrophy Снегосборник:712|atrophy Сушильный орган:692|capture dust:430|power intake and harvest:506|grow Водозабор:1|grow Снегосборник:1|grow Тепловой орган:1|withdraw surface water:21|spoil wet organic matter:450|generate solar electricity:265|harvest dry biomass:154|grow Сборщик сухой массы:86|grow Биореактор / топка:86|grow Сушильный орган:1|grow Охлаждающий орган:1|collect chitin:2|grow Ростовая ткань:2|harvest live biomass:1"
5,Spring,2208,0,667.2846,0,0,0,1967.14856,3140.127441,4376.824707,2721.555908,2869.862305,3024.213135,215.83287,273.803131,279.102051,0,0.432926,8.472889,18.000004,18.000004,18.000004,28729.322266,30102.861328,31163.71875,"Travel:352|CollectWater:8|HarvestDryBiomass:156|DryOrganicMatter:205|CollectChitin:15","burn dry organic matter:736|heat caravan:317|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|atrophy Снегосборник:728|atrophy Сушильный орган:531|generate solar electricity:384|move:434|movement water loss:434|movement organic maintenance:434|harvest dry biomass:98|power intake and harvest:419|grow Сборщик сухой массы:92|grow Органическое хранилище:301|grow Биореактор / топка:92|grow Каркас:293|grow Парус:209|grow Солнечный лист:230|grow Резервуар:213|capture dust:343|withdraw surface water:16|harvest live biomass:16|grow Сушильный орган:21|grow Охлаждающий орган:21|grow Ростовая ткань:13|collect chitin:8|grow Водозабор:4|grow Снегосборник:4|grow Тепловой орган:4|atrophy Тепловой орган:82"
5,Summer,2208,0,752.246468,0,0,0,1973.412476,2933.660889,3843.862549,2766.274658,2938.242676,3096.836426,222.833008,272.554108,279.072601,0,0.512701,7.216099,18.000004,18.000004,18.000004,28998.59375,30239.677734,31339.902344,"Travel:264|CollectWater:20|HarvestDryBiomass:159|DryOrganicMatter:283|CollectChitin:10","capture dust:314|burn dry organic matter:736|power intake and harvest:423|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|move:450|movement water loss:450|movement organic maintenance:450|grow Парус:249|grow Солнечный лист:254|grow Резервуар:251|grow Органическое хранилище:341|grow Каркас:312|atrophy Снегосборник:716|atrophy Сушильный орган:453|atrophy Тепловой орган:716|generate solar electricity:436|withdraw surface water:19|harvest dry biomass:121|grow Сборщик сухой массы:92|grow Биореактор / топка:92|harvest live biomass:18|grow Ростовая ткань:10|collect chitin:6|grow Сушильный орган:5|grow Охлаждающий орган:5|grow Водозабор:2|grow Снегосборник:2|grow Тепловой орган:2|heat caravan:99"
5,Autumn,2184,0,681.382335,0,0,0,2034.808228,2905.777832,3944.823486,2868.920654,3030.436279,3162.966309,230.156982,273.225861,279.094452,0,0.449347,7.696255,18.000004,18.000004,18.000004,29471.273438,30675.896484,31904.628906,"Travel:427|CollectWater:13|HarvestDryBiomass:139|DryOrganicMatter:138|CollectChitin:11","burn dry organic matter:728|heat caravan:728|reject heat:728|spoil wet organic matter:541|maintain caravan water circuit:728|maintain living structure:728|maintain electrical systems:728|move:410|movement water loss:410|movement organic maintenance:410|grow Парус:206|grow Солнечный лист:208|grow Резервуар:210|grow Органическое хранилище:295|grow Каркас:268|atrophy Снегосборник:715|atrophy Сушильный орган:590|atrophy Тепловой орган:256|generate solar electricity:321|harvest dry biomass:103|power intake and harvest:383|grow Сборщик сухой массы:89|grow Биореактор / топка:89|capture dust:289|withdraw surface water:19|harvest live biomass:4|grow Ростовая ткань:9|collect chitin:6|grow Водозабор:4|grow Снегосборник:4|grow Тепловой орган:4|grow Сушильный орган:2|grow Охлаждающий орган:2"
6,Winter,2160,0,562.916605,0,0,0,2074.60376,3743.434082,4842.38623,2968.774902,3137.095459,3322.130371,204.936951,275.81134,279.094177,0,0.27478,9.80191,18.000004,18.000004,18.000004,30158.044922,32174.191406,33945.347656,"Travel:506|CollectWater:2|HarvestDryBiomass:152|DryOrganicMatter:43|CollectChitin:17","harvest dry biomass:136|capture dust:473|burn dry organic matter:720|power intake and harvest:529|heat caravan:720|reject heat:720|maintain caravan water circuit:720|maintain living structure:720|maintain electrical systems:720|move:361|movement water loss:361|movement organic maintenance:361|atrophy Снегосборник:718|atrophy Сушильный орган:677|generate solar electricity:277|grow Сборщик сухой массы:83|grow Органическое хранилище:256|grow Биореактор / топка:83|grow Каркас:252|grow Парус:173|grow Солнечный лист:175|grow Резервуар:173|withdraw surface water:21|spoil wet organic matter:230|collect chitin:10|grow Ростовая ткань:8|atrophy Жатка живой массы:193|grow Сушильный орган:2|grow Охлаждающий орган:2|harvest live biomass:1"
6,Spring,2208,0,785.695786,0,0,0,2078.750244,3658.452393,4753.502441,2953.127686,3094.684082,3239.557129,150.970032,269.457062,279.093658,0,0.653444,12.604759,18.000004,18.000004,18.000004,30304.058594,31902.763672,33171.835938,"Travel:295|CollectWater:6|HarvestDryBiomass:150|DryOrganicMatter:279|CollectChitin:6","capture dust:352|burn dry organic matter:736|power intake and harvest:422|heat caravan:375|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|move:447|movement water loss:447|movement organic maintenance:447|grow Парус:233|grow Солнечный лист:242|grow Резервуар:233|grow Органическое хранилище:324|grow Каркас:320|atrophy Снегосборник:730|atrophy Сушильный орган:457|generate solar electricity:392|harvest dry biomass:96|grow Сборщик сухой массы:91|grow Биореактор / топка:91|withdraw surface water:18|grow Ростовая ткань:6|collect chitin:3|harvest live biomass:16|grow Сушильный орган:9|grow Охлаждающий орган:9"
6,Summer,2208,0,938.676108,0,0,0,2418.71582,3717.889404,4709.21875,2998.830811,3126.59668,3251.331543,203.17215,267.907562,279.094208,0,0.843686,9.355206,18.000004,18.000004,18.000004,30593.982422,32202.306641,33279.132813,"Travel:214|HarvestDryBiomass:157|DryOrganicMatter:355|CollectChitin:10","burn dry organic matter:736|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|move:474|movement water loss:474|movement organic maintenance:474|grow Парус:157|grow Солнечный лист:220|grow Резервуар:157|grow Органическое хранилище:247|grow Каркас:290|atrophy Снегосборник:736|atrophy Сушильный орган:381|capture dust:245|power intake and harvest:343|generate solar electricity:435|harvest dry biomass:104|grow Сборщик сухой массы:90|grow Биореактор / топка:90|harvest live biomass:18|atrophy Тепловой орган:692|withdraw surface water:19|collect chitin:9|grow Ростовая ткань:7|grow Сушильный орган:63|grow Охлаждающий орган:63|heat caravan:89"
6,Autumn,2184,0,763.729434,0,0,0,2107.265137,3302.05542,4753.019043,3035.121094,3200.075928,3334.88623,216.472107,267.183167,279.094116,0,0.658864,8.697948,18.000004,18.000004,18.000004,30712.091797,32141.839844,33808.527344,"Travel:411|CollectWater:12|HarvestDryBiomass:142|DryOrganicMatter:154|CollectChitin:9","harvest dry biomass:91|burn dry organic matter:728|power intake and harvest:416|heat caravan:728|reject heat:728|spoil wet organic matter:606|maintain caravan water circuit:728|maintain living structure:728|maintain electrical systems:728|grow Сборщик сухой массы:87|grow Органическое хранилище:255|grow Биореактор / топка:87|grow Каркас:231|atrophy Снегосборник:716|atrophy Сушильный орган:574|atrophy Тепловой орган:240|move:383|movement water loss:383|movement organic maintenance:383|grow Парус:168|grow Солнечный лист:201|grow Резервуар:175|generate solar electricity:323|grow Сушильный орган:33|grow Охлаждающий орган:33|capture dust:347|harvest live biomass:5|withdraw surface water:17|grow Ростовая ткань:2|collect chitin:5|grow Водозабор:7|grow Снегосборник:7|grow Тепловой орган:7"
7,Winter,2160,0,557.848298,0,0,0,2216.078369,3768.072754,4933.339844,3141.031982,3313.861816,3525.801025,208.800339,273.907776,279.095215,0,0.348478,9.929867,18.000004,18.000004,18.000004,31876.947266,33295.476563,35212.523438,"Travel:497|CollectWater:2|HarvestDryBiomass:150|DryOrganicMatter:65|CollectChitin:6","capture dust:509|burn dry organic matter:720|power intake and harvest:559|heat caravan:720|reject heat:720|maintain caravan water circuit:720|maintain living structure:720|maintain electrical systems:720|atrophy Снегосборник:718|atrophy Сушильный орган:655|harvest dry biomass:135|move:341|movement water loss:341|movement organic maintenance:341|generate solar electricity:271|grow Сборщик сухой массы:76|grow Органическое хранилище:247|grow Биореактор / топка:76|grow Каркас:240|grow Парус:171|grow Солнечный лист:188|grow Резервуар:171|grow Ростовая ткань:5|collect chitin:4|withdraw surface water:20|spoil wet organic matter:373|grow Сушильный орган:17|grow Охлаждающий орган:17|atrophy Жатка живой массы:163|harvest live biomass:1"
7,Spring,2208,0,797.559187,0,0,0,2163.485596,3546.437988,4800.134277,3128.241699,3268.405029,3411.5271,217.981171,270.328217,279.095398,0,0.62418,7.499432,18.000004,18.000004,18.000004,31404.867188,32852.476563,34224.328125,"Travel:304|CollectWater:4|HarvestDryBiomass:145|DryOrganicMatter:273|CollectChitin:10","capture dust:382|burn dry organic matter:736|power intake and harvest:447|heat caravan:302|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|atrophy Снегосборник:732|atrophy Сушильный орган:463|move:445|movement water loss:445|movement organic maintenance:445|harvest dry biomass:87|generate solar electricity:399|grow Сборщик сухой массы:83|grow Органическое хранилище:231|grow Биореактор / топка:83|grow Солнечный лист:220|grow Сушильный орган:72|grow Охлаждающий орган:72|grow Каркас:238|grow Парус:148|grow Резервуар:150|withdraw surface water:20|harvest live biomass:21|collect chitin:7|grow Ростовая ткань:2|grow Водозабор:2|grow Снегосборник:2|grow Тепловой орган:2|atrophy Тепловой орган:12"
